scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.145193576812744,True,71.61105490333074,0.49820206862500765,2025-10-20T17:15:04.073650
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.13095760345459,True,36.054877217591894,0.3995246399629884,2025-10-20T17:15:12.349731
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.1260175704956055,True,66.46896255354477,0.6240843857148077,2025-10-20T17:15:20.621334
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.1198179721832275,True,45.15395225633325,0.41462647061534447,2025-10-20T17:15:28.888795
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.139148950576782,True,91.07491924002714,0.3624662686606087,2025-10-20T17:15:37.172809
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.111187934875488,True,14.03286822984018,0.6633361049938991,2025-10-20T17:15:45.404161
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.118615388870239,True,67.34320951426872,0.30965212458829805,2025-10-20T17:15:53.664428
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.12765645980835,True,25.64981742876558,0.4898074397935356,2025-10-20T17:16:01.937761
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.155145168304443,True,96.74981652020563,0.46103783707399865,2025-10-20T17:16:10.226554
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.13056492805481,True,15.911611610740927,0.7518914915807264,2025-10-20T17:16:18.508291
